Advisory URL,Vendor,Equipment,Affected Products,CVE URLs
https://www.cisa.gov/news-events/ics-advisories/icsa-23-290-01,Schneider Electric,"EcoStruxure Power Monitoring Expert, EcoStruxure Power Operation with Advanced Reports, EcoStruxure Power SCADAOperation with Advanced Reports","['EcoStruxure Power Monitoring Expert: All versions prior to Hotfix-145271', 'EcoStruxure Power Operation with Advanced Reports: All versions prior to application of Hotfix-145271', 'EcoStruxure Power SCADA Operation with Advanced Reports: All versions prior to Hotfix-145271']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5391']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-16,Schneider Electric,IGSS (Interactive Graphical SCADA System),['IGSS Update Service (IGSSupdateservice.exe): v16.0.0.23211 and prior.'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4516']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-15,Advantech,WebAccess,['Advantech WebAccess: Version 9.1.3.'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4215']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-14,Hikvision,Access Control and Intercom Products,"['DS-K1T804AXX: V1.4.0_build221212 and prior.', 'DS-K1T341AXX: V3.2.30_build221223 and prior.', 'DS-K1T671XXX: V3.2.30_build221223 and prior.', 'DS-K1T343XXX: V3.14.0_build230117 and prior.', 'DS-K1T341C: V3.3.8_build230112 and prior.', 'DS-K1T320XXX: V3.5.0_build220706 and prior.', 'DS-KH63 Series: V2.2.8_build230219 and prior.', 'DS-KH85 Series: V2.2.8_build230219 and prior.', 'DS-KH62 Series: V1.4.62_build220414 and prior.', 'DS-KH9310-WTE1(B): V2.1.76_build230204 and prior.', 'DS-KH9510-WTE1(B): V2.1.76_build230204 and prior.']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-28809', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-28810']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-13,Mitsubishi Electric Corporation,MELSEC-F Series,"['MELSEC-F series FX3U-xMy/z x=16,32,48,64,80,128, y=T,R, z=ES,ESS,DS,DSS: All versions.', 'MELSEC-F series FX3U-32MR/UA1, FX3U-64MR/UA1: All versions.', 'MELSEC-F FX3U-32MS/ES, FX3U-64MS/ES: All versions.', 'MELSEC-F FX3U-xMy/ES-A x=16,32,48,64,80,128, y=T,R: All versions.', 'MELSEC-F FX3UC-xMT/z x=16,32,64,96, z=D,DSS: All versions.', 'MELSEC-F FX3UC-16MR/D-T, FX3UC-16MR/DS-T: All versions.', 'MELSEC-F FX3UC-32MT-LT, FX3UC-32MT-LT-2: All versions.', 'MELSEC-F FX3UC-16MT/D-P4, FX3UC-16MT/DSS-P4: All versions.', 'MELSEC-F FX3G-xMy/z x=14,24,40,60, y=T,R, z=ES,ESS,DS,DSS: All versions.', 'MELSEC-F FX3G-xMy/ES-A x=14,24,40,60, y=T,R: All versions.', 'MELSEC-F FX3GC-32MT/D, FX3GC-32MT/DSS: All versions.', 'MELSEC-F FX3GE-xMy/z x=24,40, y=T,R, z=ES,ESS,DS,DSS: All versions.', 'MELSEC-F FX3GA-xMy-CM x=24,40,60, y=T,R: All versions.', 'MELSEC-F FX3S-xMy/z x=10,14,20,30, y=T,R, z=ES,ESS,DS,DSS: All versions.', 'MELSEC-F FX3S-30My/z-2AD y=T,R, z=ES,ESS: All versions.', 'MELSEC-F FX3SA-xMy-CM x=10,14,20,30, y=T,R: All versions.']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4562']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-12,Weintek,cMT3000 CMI Web CGI,"['cMT-FHD: OS version 20210210 or prior.', 'cMT-HDM: OS version 20210204 or prior.', 'cMT3071: OS version 20210218 or prior.', 'cMT3072: OS version 20210218 or prior.', 'cMT3103: OS version 20210218 or prior.', 'cMT3090: OS version 20210218 or prior.', 'cMT3151: OS version 20210218 or prior.']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-38584', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-40145', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-43492']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-11,Siemens,Mendix Forgot Password Module,"['Mendix Forgot Password (Mendix 7 compatible): All versions prior to V3.7.3.', 'Mendix Forgot Password (Mendix 8 compatible): All versions prior to V4.1.3.', 'Mendix Forgot Password (Mendix 9 compatible): All versions prior to V5.4.0.', 'Mendix Forgot Password (Mendix 10 compatible): All versions prior to V5.4.0.']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-43623']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-10,Siemens,Tecnomatix Plant Simulation,"['Tecnomatix Plant Simulation V2201: All versions prior to V2201.0009', 'Tecnomatix Plant Simulation V2302: All versions prior to V2302.0003']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-44081', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-44082', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-44083', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-44084', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-44085', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-44086', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-44087']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-09,Siemens,"CP-8050, CP-8031","['CP-8031 MASTER MODULE (6MF2803-1AA00): All versions prior to CPCI85 V05.11', 'CP-8050 MASTER MODULE (6MF2805-0AA00): All versions prior to CPCI85 V05.11']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-36380']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-08,Siemens,SINEC NMS,['SINEC NMS: All versions prior to V2.0'],"['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-30527', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-44315']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-07,Siemens,RUGGEDCOM APE1808,['RUGGEDCOM APE1808 with Nozomi Guardian / CMC: versions prior to V22.6.2'],"['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22378', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22843', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-23574', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-23903', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-24015', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-24471', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-24477']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-06,Siemens,SICAM PAS/PQS,['SICAM PAS/PQS: Version 8.00 up to but not including 8.22.'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-38640']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-05,Siemens,Simcenter Amesim,['Simcenter Amesim: All versions prior to V2021.1'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-43625']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-04,Siemens,Xpedition Layout Browser,['Xpedition Layout Browser: All versions prior to VX.2.14'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-30900']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-03,Siemens,SICAM A8000,"['CP-8031 MASTER MODULE (6MF2803-1AA00): All versions prior to CPCI85 V05.11', 'CP-8050 MASTER MODULE (6MF2805-0AA00): All versions prior to CPCI85 V05.11']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-42796']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-02,Siemens,SCALANCE W1750D,"['SCALANCE W1750D (JP) (6GK5750-2HX01-1AD0): versions prior to V8.10.0.6', 'SCALANCE W1750D (ROW) (6GK5750-2HX01-1AA0): versions prior to V8.10.0.6', 'SCALANCE W1750D (USA) (6GK5750-2HX01-1AB0): versions prior to V8.10.0.6']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22779', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22780', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22781', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22782', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22783', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22784', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22785', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22786', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22787', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22788', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22789', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22790', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-22791']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-285-01,Siemens,SIMATIC CP products,"['SIMATIC CP 1604 (6GK1160-4AA01): all versions', 'SIMATIC CP 1616 (6GK1161-6AA02): all versions', 'SIMATIC CP 1623 (6GK1162-3AA00): all versions', 'SIMATIC CP 1626 (6GK1162-6AA01): all versions', 'SIMATIC CP 1628 (6GK1162-8AA00): all versions']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-37194', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-37195']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-278-03,Mitsubishi Electric,CC-Link IE TSN Industrial Managed Switch,"['CC-Link IE TSN Industrial Managed Switch, model NZ2MHG-TSNT8F2 NZ2MHG-TSNT4: All versions']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-4304', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-4450']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-278-02,Qognify,NiceVision,['NiceVision: v3.1 and prior'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-2306']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-278-01,Hitachi Energy,"AFS65x, AFF66x, AFS67x, AFR67x Series","['AFF66X FW: 03.0.02 and prior', 'AFS66X-S: All versions', 'AFS660-C: All versions', 'AFS66X-B: All versions', 'AFS670-V20: All versions', 'AFS65X: All versions', 'AFS67X: All versions', 'AFR677: All versions']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-45960', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-46143', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-22822', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-22823', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-22824', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-22825', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-22826', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-22827', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-25314', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-25315', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-25235', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-25236', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-23852', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-23990']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-271-02,DEXMA,DEXGate,['DEXGate: Version 20130114'],"['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-40153', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-42435', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-41089', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-41088', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-42666']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-271-01,Rockwell Automation,PanelView 800,"['PanelView 800 2711R-T10T: V3.011', 'PanelView 800 2711R-T7T: V3.011', 'PanelView 800 2711R-T4T: V3.011']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2017-12652']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-269-05,Baker Hughes - Bently Nevada,Bently Nevada 3500 System,['Bently Nevada 3500 Rack (TDI Firmware): version 5.05'],"['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-34437', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-34441', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-36857']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-269-04,Advantech,"EKI-1524-CE, EKI-1522-CE, EKI-1521-CE","['EKI-1524-CE series: versions 1.24 and prior', 'EKI-1522-CE series: versions 1.24 and prior', 'EKI-1521-CE series: versions 1.24 and prior']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4202', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4203']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-269-03,Mitsubishi Electric,FA Engineering Software Products,['GX Works3: All versions'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4088']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-269-02,Hitachi Energy,Asset Suite 9,"['Asset Suite: Versions 9.6.3.11.1 and prior', 'Asset Suite: Version 9.6.4']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4816']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-269-01,Suprema Inc.,BioStar 2,['BioStar 2: version 2.8.16'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-27167']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-264-06,Rockwell Automation,FactoryTalk View Machine Edition,"['FactoryTalk View Machine Edition: v13.0', 'FactoryTalk View Machine Edition: v12.0 and prior']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-2071']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-264-05,Rockwell Automation,Connected Components Workbench,['Connected Components Workbench: versions prior to R21'],"['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-16017', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-0609', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-16009', 'https://nvd.nist.gov/vuln/detail/CVE-2020-16013', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-15999']"
